document,keyword,matches
/p/ressim02/analytics/AICOE/Hackathons/Norway2019/data/text_documents/25-10-06-S_PB-706-0100.pdf, cara,1
/p/ressim02/analytics/AICOE/Hackathons/Norway2019/data/text_documents/25-10-06-S_PB-706-0100.pdf, delta,1
/p/ressim02/analytics/AICOE/Hackathons/Norway2019/data/text_documents/25-10-06-S_PB-706-0100.pdf, gro,8
/p/ressim02/analytics/AICOE/Hackathons/Norway2019/data/text_documents/25-10-06-S_PB-706-0100.pdf, tir,1
/p/ressim02/analytics/AICOE/Hackathons/Norway2019/data/text_documents/25-10-06-S_PB-706-0100.pdf,atla,2
/p/ressim02/analytics/AICOE/Hackathons/Norway2019/data/text_documents/25-10-06-S_PB-706-0100.pdf,balder,4
/p/ressim02/analytics/AICOE/Hackathons/Norway2019/data/text_documents/25-10-06-S_PB-706-0100.pdf,ekofisk,1
/p/ressim02/analytics/AICOE/Hackathons/Norway2019/data/text_documents/25-10-06-S_PB-706-0100.pdf,ekofisk t,1
/p/ressim02/analytics/AICOE/Hackathons/Norway2019/data/text_documents/25-10-06-S_PB-706-0100.pdf,heimdal,3
/p/ressim02/analytics/AICOE/Hackathons/Norway2019/data/text_documents/25-10-06-S_PB-706-0100.pdf,togi,1
/p/ressim02/analytics/AICOE/Hackathons/Norway2019/data/text_documents/25-10-06-S_PB-706-0100.pdf,vale,4
/p/ressim02/analytics/AICOE/Hackathons/Norway2019/data/text_documents/25-10-06-S_PB-706-0100.pdf,volve,1
/p/ressim02/analytics/AICOE/Hackathons/Norway2019/data/text_documents/25-10-06-S_PB-706-0100.pdf,1_2,15
/p/ressim02/analytics/AICOE/Hackathons/Norway2019/data/text_documents/25-10-06-S_PB-706-0100.pdf,1_3,2
/p/ressim02/analytics/AICOE/Hackathons/Norway2019/data/text_documents/25-10-06-S_PB-706-0100.pdf,2_1,1
/p/ressim02/analytics/AICOE/Hackathons/Norway2019/data/text_documents/25-10-06-S_PB-706-0100.pdf,2_3,1
