"Search Results"

"Summary"
"Saved on";"11.06.2018 08.18.55"
"Searched for";"fluor"
"In folder(s)";"C:\Apps\completion reports"
"Number of document(s) found";"325"            
"Number of instance(s) found";"10362"          

"File name";"Title";"Page";"Search Instance"
"15_12-11_S__WELL__15-12-11-S_PB-706-0417.PDF";"";"20";"very weak cut fluorescence in the sandstone, hence it was decided not to continue "
"15_12-11_S__WELL__15-12-11-S_PB-706-0417.PDF";"";"21";"a weak cut fluorescence was observed. The fme-grained and well sorted composition of "
"15_12-11_S__WELL__15-12-11-S_PB-706-0417.PDF";"";"59";"no stain, no fluorescence, very slow streaming cloudy very weak white to yellowish white "
"15_12-11_S__WELL__15-12-11-S_PB-706-0417.PDF";"";"59";"no stain, no fluorescence, moderately streaming white to yellowish white cut, yellowish white residuum. "
"15_12-11_S__WELL__15-12-11-S_PB-706-0417.PDF";"";"127";"li! PORO- STAIN FLUOR CUT DESCRIPTION <·•· _ GRAIN SIZE 0 "

"File name";"Title";"Page";"Search Instance"
"15_12-1__WELL__15-12-01_PB-706-0117.PDF";"";"14";"m), fair reservoir, fluor and cut, waterwet. 5. ~I!~~~!~-~~~9~~~~~ (3208 m "
"15_12-1__WELL__15-12-01_PB-706-0117.PDF";"";"38";"qtz .. sand fluor on one 'p,n! sand. Fluoresced .. YF.i_"
"15_12-1__WELL__15-12-01_PB-706-0117.PDF";"";"38";"p,n! sand. Fluoresced .. YF.i_IL' _v. _abncl . Shale, "
"15_12-1__WELL__15-12-01_PB-706-0117.PDF";"";"61";"Sd 1../yl fluor --... ---·-- ------···~. ·"
"15_12-1__WELL__15-12-01_PB-706-0117.PDF";"";"68";"LITHOLOG'V STAIN CUT FLUOR LITHOLOGIC DESCRIPTION MISC. (m) IS F IG p F "
"15_12-1__WELL__15-12-01_PB-706-0117.PDF";"";"69";"LOG~ STAIN CUT FLUOR. LITHOLOGIC DESCRIPTION MISC. 1 (m) s I F G "
"15_12-1__WELL__15-12-01_PB-706-0117.PDF";"";"71";"fUTHOLOG¥ STAI~ CUT FLUOR LITHOLOGIC DESCRIPTION MISC. s F iG F G p F "
"15_12-1__WELL__15-12-01_PB-706-0117.PDF";"";"73";"STAIN CUT !FLUOR. LITHOLOGIC DE SCRIPT ION MISC. I m s FIG P "
"15_12-1__WELL__15-12-01_PB-706-0117.PDF";"";"74";"LITHOLOG't' STAIN CUT FLUOR. LITHOLOGIC DESCRIPTION MISC. • , (m) IS F IG "
"15_12-1__WELL__15-12-01_PB-706-0117.PDF";"";"75";"LITHOLOG'f STAIN CUT FLUOR. LITHOLOGIC DESCRIPTION MISC. (m) s F G p F "
"15_12-1__WELL__15-12-01_PB-706-0117.PDF";"";"76";"TR. PYRITE MINE FLUORES NO CUT DULL GOLD EVEN FLUOR, Pale yellow imm. strm. "
"15_12-1__WELL__15-12-01_PB-706-0117.PDF";"";"76";"DULL GOLD EVEN FLUOR, Pale yellow imm. strm. cut A/A "
