"Søkeresultater"

"Sammendrag"
"Lagret på";"08.06.2018 14.17.24"
"Søkte etter";"mod show"
"I mappe(r)";"C:\Apps\completion reports"
"Antall dokumenter funnet";"12"             
"Antall forekomster funnet";"23"             

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"15_9-21_S__WELL__15-09-21-S_PB-706-0739.PDF";"";"34";"srt, ang- sbrndd, mod Shows masked I Ill wl Sil, v slily dol, slily "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"15_9-6__WELL__15-09-06_PB-706-0107.PDF";"";"74";"occ slty, firm-mod Shows&Remarks Dull-bri yel mi fluor from ls hd, "
"15_9-6__WELL__15-09-06_PB-706-0107.PDF";"";"75";"occ slty, firm-mod Shows&Remarks hd, subfiss-fiss, sl-mod calc, micromicmic locally "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"25_8-8_B__WELL__25-08-08-B_PB-706-0837.PDF";"";"42";"SS CLSTS W/ MOD SHOW f SHOW IN SS CLSTS 5 2391,0 ss MGY "
"25_8-8_B__WELL__25-08-08-B_PB-706-0837.PDF";"";"44";"MLKYBL YEL GOOD-MOD SHOW 13 2426,0 ss MBRN FRI F-M SA-SR "
"25_8-8_B__WELL__25-08-08-B_PB-706-0837.PDF";"";"44";"MLKYBL YEL GOOD-MOD SHOW 14 2427,0 ss MBRN FRI F SA-SR M-"
"25_8-8_B__WELL__25-08-08-B_PB-706-0837.PDF";"";"44";"LTYL io<>OD-MOD SHOW 15 2428,0 ss LT-DKGY FRI VF SA-SR "
"25_8-8_B__WELL__25-08-08-B_PB-706-0837.PDF";"";"44";"LTYL io<>OD-MOD SHOW 19 2432,0 ss LTBRN FRI F-M SA-SR "
"25_8-8_B__WELL__25-08-08-B_PB-706-0837.PDF";"";"44";"LTYL io<>OD-MOD SHOW 20 2433,0 ss M-LTGY FRI F-M SA-"

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"30_9-19_A__WELL__30-09-19-A_PB-706-0353.PDF";"";"49";"crs, sbang-sbrndd, mod- Shows: mod strg pet od, no oil stn 9 .. "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"30_9-19__WELL__30-09-19_PB-706-0510.PDF";"";"54";".... vis res, mod show . ·c· M. ,,, If . ·"

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"6407_1-3__WELL__6407-01-03_PB-706-0185.PDF";"";"127";"gry-buff, sft-mod Shows&Remark::: dull yel fluor on sst no solvent or "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"6506_12-10_A__WELL__6506-12-10-AND-A_PB-706-0743.PDF";"";"323";"srt, ang-sbrndd, mod Shows a.a. ' hd, sil cmt, kaol/ arg mtx, "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"6506_12-10__WELL__6506-12-10-AND-A_PB-706-0743.PDF";"";"323";"srt, ang-sbrndd, mod Shows a.a. ' hd, sil cmt, kaol/ arg mtx, "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"6507_2-2__WELL__6507-02-02_PB-706-0504.PDF";"";"59";"REPORT 2of2 pr-mod shows on Sst wk yel wh dir flu, mod yel "
"6507_2-2__WELL__6507-02-02_PB-706-0504.PDF";"";"59";"vis resd. pr-mod shows on Sst as above . mod shows on Sst. "
"6507_2-2__WELL__6507-02-02_PB-706-0504.PDF";"";"59";"as above . mod shows on Sst. wk yel wh-bl wh dir flu, "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"6507_7-2__WELL__6507-07-02_PB-706-0936.PDF";"";"153";"MILIIY CUT FLUOR MOD SHOWS, DULL GOLD SAMP FLUOR, FAINT MILKY SOL FLUOR NO "
"6507_7-2__WELL__6507-07-02_PB-706-0936.PDF";"";"153";"A/A I MOD SHOWS 1 "".:- I DULL YL SAMP _...- ~ .,..___+-+--"

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"6507_7-4__WELL__6507-07-04_PB-706-0933.PDF";"";"118";"m stain, fri-mod show, 2444.9 ·-· _.a hd, p artd, "
"6507_7-4__WELL__6507-07-04_PB-706-0933.PDF";"";"118";".. mod artd, mod show, cmtd, qtz cmt, - inta I.-.· . . "
"6507_7-4__WELL__6507-07-04_PB-706-0933.PDF";"";"126";"lt bn resd, mod show. The rubble and loose sand which fell out of "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"6507_7-5_A__WELL__6507-07-5A_PB-706-0932.PDF";"";"133";"ISR, poorly srtd, mod shows . 2630.43 L .. . .. .. tc .. "
