"Search Results"

"Summary"
"Saved on";"20.06.2018 11.14.07"
"Searched for";"odour"
"In folder(s)";"C:\Apps\completion reports"
"Number of document(s) found";"133"            
"Number of instance(s) found";"1322"           

"File name";"Title";"Page";"Search Instance"
"15_12-11_S__WELL__15-12-11-S_PB-706-0417.PDF";"";"59";"Formation had no odour, no stain, no fluorescence, very slow streaming cloudy very weak "
"15_12-11_S__WELL__15-12-11-S_PB-706-0417.PDF";"";"59";"Formation had no odour, no stain, no fluorescence, moderately streaming white to yellowish white "

"File name";"Title";"Page";"Search Instance"
"15_12-6_S__WELL__15-12-06S_PB-706-0122.PDF";"";"48";"SMOKE AND BURNED ODOUR. NO FAILURE FOUND. - DRILLED 17 1/2"" HOLE FROM "

"File name";"Title";"Page";"Search Instance"
"15_12-8_A__WELL__15-12-08_AND_A_PB-706-0124_OCR.pdf";"";"171";"POR, ELSE AlA ODOUR NO ~: BLK, SUBFISS, H~FRAM, FLUOR/CUT MICROPYR 2848- "

"File name";"Title";"Page";"Search Instance"
"15_3-4__WELL__15-03-04_PB-706-0786.PDF";"";"37";"b o n odour , o il s tains , g as bub b "

"File name";"Title";"Page";"Search Instance"
"15_3-5__WELL__15-03-05_PB-706-0793.PDF";"";"48";"Stringers of COAL odour of HG A bright ye llow. !::. white milky to "
"15_3-5__WELL__15-03-05_PB-706-0793.PDF";"";"48";"siliceous cemenslight odour of H G . A yel low, !::. dull whitish "

"File name";"Title";"Page";"Search Instance"
"15_5-3__WELL__15-05-03_PB-706-0298.PDF";"";"38";"petr~""~' i.ferous odour. I I I I l '' I I' ! I: "

"File name";"Title";"Page";"Search Instance"
"15_5-4__WELL__15-05-04_PB-706-0384.PDF";"";"23";"SANDSTONE: moderate hydrocarbon odour, no oil stain, moderate bright yellowish white direct fluorescence, fast "
"15_5-4__WELL__15-05-04_PB-706-0384.PDF";"";"23";"SANDSTONE: moderate petroleum odour, faint uniform light brown oil stain, uniform bright white to "
"15_5-4__WELL__15-05-04_PB-706-0384.PDF";"";"24";"SANDSTONE: moderate hydrocarbon odour, no oil stain, uniform to patchy bright yellowish white direct "
"15_5-4__WELL__15-05-04_PB-706-0384.PDF";"";"57";"to moderate petroleum odour. "

"File name";"Title";"Page";"Search Instance"
"15_5-6__WELL__15-05-06_PB-706-0530.PDF";"";"28";"as ""good odour, brown stain, even orange-yellow fluorescence and instant white cut "
"15_5-6__WELL__15-05-06_PB-706-0530.PDF";"";"29";"as: Strong HC Odour. brown Stan, even orange . yellow Floor and Instant white "
"15_5-6__WELL__15-05-06_PB-706-0530.PDF";"";"117";"V gd HC Odour, ti - pr vis Por Even brn HC Stn Even "
"15_5-6__WELL__15-05-06_PB-706-0530.PDF";"";"118";"Cmt, Good HC Odour non calc, lse - fri, fr - pr vis Por "

"File name";"Title";"Page";"Search Instance"
"15_8-1__WELL__15-08-01_PB-706-0224.PDF";"";"94";"- milky cut odour No - P. STAIN ~~-~~-~-~?... ....... ... ~~--' ... l?.~~.' "
"15_8-1__WELL__15-08-01_PB-706-0224.PDF";"";"94";"mo calc cmtd, odour ··········"
"15_8-1__WELL__15-08-01_PB-706-0224.PDF";"";"95";"··· ODOUR 3661.95 Ss, A/A cu-cl grn calc cmtd SHOWS "

"File name";"Title";"Page";"Search Instance"
"15_9-16__WELL__15-09-16_PB-706-0081.PDF";"";"67";". . . odour - .. . . .. .. . 2390_ . . "
"15_9-16__WELL__15-09-16_PB-706-0081.PDF";"";"68";"micromic, occ glau odour 2395_. . . . . . . .. . Sh: "
"15_9-16__WELL__15-09-16_PB-706-0081.PDF";"";"69";"subrnd, pr-rrod odour - srtd,fri,sl-mod calc 2399 -. . . "
"15_9-16__WELL__15-09-16_PB-706-0081.PDF";"";"79";"shows ~gas odour "

"File name";"Title";"Page";"Search Instance"
"15_9-17__WELL__15-09-17_PB-706-0226.PDF";"";"106";"No shows gd OdOur v.v.. w,.. eak . ..z-- ---- gd odour "
"15_9-17__WELL__15-09-17_PB-706-0226.PDF";"";"106";"z-- ---- gd odour no fluor 11 sl odour gd odour 11 11 -----------------------~------"
"15_9-17__WELL__15-09-17_PB-706-0226.PDF";"";"106";"fluor 11 sl odour gd odour 11 11 -----------------------~------·-~ 41~~--~--------------------~--~--~ ~-----------------------------~-"
"15_9-17__WELL__15-09-17_PB-706-0226.PDF";"";"106";"sl odour gd odour 11 11 -----------------------~------·-~ 41~~--~--------------------~--~--~ ~-----------------------------~-"

"File name";"Title";"Page";"Search Instance"
"15_9-19_A__WELL__15-09-19-A_PB-706-0115.PDF";"";"31";"with strong hydrocar15on odour, excellent, even light brown to brown black oil stain and "
"15_9-19_A__WELL__15-09-19-A_PB-706-0115.PDF";"";"31";"occasionally weak hydrocarbon odour, no stain, predominantly no direct fluorescence and with non to "
"15_9-19_A__WELL__15-09-19-A_PB-706-0115.PDF";"";"151";"cut Good+HC odour/stn Even stmg yel Fishy blu wh cut Mod HC "
"15_9-19_A__WELL__15-09-19-A_PB-706-0115.PDF";"";"151";"cut Mod HC odour/stn ptchy mod stmg yel direct fluor Fishy blu wh "
"15_9-19_A__WELL__15-09-19-A_PB-706-0115.PDF";"";"151";"cut Mod HC odour/stn Even mod stmg yel strmng blu wh Mod-wk "
"15_9-19_A__WELL__15-09-19-A_PB-706-0115.PDF";"";"151";"Mod-wk HC odour Mod-wk. HC stain ptchy wk. yel direct fluor. Wk "
"15_9-19_A__WELL__15-09-19-A_PB-706-0115.PDF";"";"152";"a. Wk HC odour/stn Even mod strng - yel direct . Mod fast "
"15_9-19_A__WELL__15-09-19-A_PB-706-0115.PDF";"";"153";"Shows, etc HC Odour/Stn "
"15_9-19_A__WELL__15-09-19-A_PB-706-0115.PDF";"";"154";"a. Stmg HC Odour, bm Stn, "
"15_9-19_A__WELL__15-09-19-A_PB-706-0115.PDF";"";"155";"Par Mod HC Odour, mod bm Stn, pchylam mod bri yel Fluor, mod fst, "
"15_9-19_A__WELL__15-09-19-A_PB-706-0115.PDF";"";"155";"Fluor Wk HC Odour, no Stn, pchy-no yel Fluor, no Cut Fluor No "
"15_9-19_A__WELL__15-09-19-A_PB-706-0115.PDF";"";"155";"Mod stmg HC Odour, even bm Stn, even bri yel Fluor, flsh-fst strm "
"15_9-19_A__WELL__15-09-19-A_PB-706-0115.PDF";"";"155";"Fluor Stmg HC Odour, even bm Stn, even bri yel Fluor, wh Cut Fluor "
"15_9-19_A__WELL__15-09-19-A_PB-706-0115.PDF";"";"156";"good vis por odour/stn stmg yel fluor. lnststnn blu wh cut Shows a."
"15_9-19_A__WELL__15-09-19-A_PB-706-0115.PDF";"";"156";"Shows a.a. odour/stn strng yel fluor. lnst • blu wh cut Shows "
"15_9-19_A__WELL__15-09-19-A_PB-706-0115.PDF";"";"157";"HC stn stmg odour mod dk yel pred a.a. pred a.a. tarry "
"15_9-19_A__WELL__15-09-19-A_PB-706-0115.PDF";"";"157";"HC stn stmg odour mod dk yel fluor. post-flsl1y blu wh pred a."
"15_9-19_A__WELL__15-09-19-A_PB-706-0115.PDF";"";"158";"cut fluor. HC odour. , even, bm blk, oil stn. Even, or fluor. wh "
"15_9-19_A__WELL__15-09-19-A_PB-706-0115.PDF";"";"159";"a.a. HC odour. dk brnblk, bitum, oil Even, mod dk I fluor. F"""
"15_9-19_A__WELL__15-09-19-A_PB-706-0115.PDF";"";"159";"wh Strng HC odour. Ex, even, dk brnbm blk, bitum, oil stn. Even, mod "
"15_9-19_A__WELL__15-09-19-A_PB-706-0115.PDF";"";"159";"cut fluor. HC odour/stn. Even, dull mod dk I fluor. Fst strmg wh "
"15_9-19_A__WELL__15-09-19-A_PB-706-0115.PDF";"";"160";"sdy, ~~~~.HC odour/stn. I ~~wll srt, frm- mod hd, dam kaol "
"15_9-19_A__WELL__15-09-19-A_PB-706-0115.PDF";"";"160";"~~~u~C odour/stn. I' grdg CLST, abun ptchy pyr, carb omg-bm "
"15_9-19_A__WELL__15-09-19-A_PB-706-0115.PDF";"";"160";"_~ ~ HC Odour/Stn. """"' ang- sbrndd, offwh arg (kao) Mtrx, """":"
"15_9-19_A__WELL__15-09-19-A_PB-706-0115.PDF";"";"160";"occ No HC Odour/Stn. crs, mod - wl srt, ~bang - sbmdd, "
"15_9-19_A__WELL__15-09-19-A_PB-706-0115.PDF";"";"161";"- No HC Odour/Stn. I' ' sbmdd, abd lt brn gry arg ("
"15_9-19_A__WELL__15-09-19-A_PB-706-0115.PDF";"";"161";"pr No HC Odour/Stn. I' srt, ang- sbmdd, abd pa bm arg V "
"15_9-19_A__WELL__15-09-19-A_PB-706-0115.PDF";"";"161";"kao) No HC Odour/Stn. _j_ i and sdy - v sdy Mtrx, "
"15_9-19_A__WELL__15-09-19-A_PB-706-0115.PDF";"";"162";"si- mod kaol odour/Stn. No - 'I mtx, si sil emt, frm- "
"15_9-19_A__WELL__15-09-19-A_PB-706-0115.PDF";"";"163";"Fluor No HC odour/stn. No direct Fluor slw strm, wh, Cut Fluor. Mod "
"15_9-19_A__WELL__15-09-19-A_PB-706-0115.PDF";"";"163";"a.a No Odour/Stn, Wk, wh, crsh Cut -mod, yel wh residue "
"15_9-19_A__WELL__15-09-19-A_PB-706-0115.PDF";"";"164";"Shows, etc No Odour/Stn, No Fluor Wk, si, blu wh, - strm Cut "
"15_9-19_A__WELL__15-09-19-A_PB-706-0115.PDF";"";"164";"Cut Fluor No Odour/Stn, No Fluor Wk, blu wh, crush Cut Fluor Shows "
"15_9-19_A__WELL__15-09-19-A_PB-706-0115.PDF";"";"165";"of blk HC Odour/Stn. direct Fluor, dk yel, crsh coaly/carb Mat, fair "

"File name";"Title";"Page";"Search Instance"
"15_9-19_B__WELL__15-09-19-B_PB-706-0114.PDF";"";"40";"observed. Weak hydrocarbon odour, weak stain, predominantly no direct fluorescence and weak to moderate, "
"15_9-19_B__WELL__15-09-19-B_PB-706-0114.PDF";"";"171";"else a.a. Odour, no Stn, direct Fluor, slow, yelwh I f---t-H-"
"15_9-19_B__WELL__15-09-19-B_PB-706-0114.PDF";"";"172";"srt, sbmdd, No Odour, no Stn, ; . mod- abd med gryw/Pch of "
"15_9-19_B__WELL__15-09-19-B_PB-706-0114.PDF";"";"176";"of 2 No Odour,Wk 1t bm stn, Wk ye! F1uor. Wk, slw, strmg "
"15_9-19_B__WELL__15-09-19-B_PB-706-0114.PDF";"";"176";"No Shows No Odour,Wk 1t bm No dir Fluor. Wk, fst, strmg yel "
"15_9-19_B__WELL__15-09-19-B_PB-706-0114.PDF";"";"176";"Showsa.a. WkHC Odour, Mod Jt bm stn, No dir Fluor. Bn, """"· "
"15_9-19_B__WELL__15-09-19-B_PB-706-0114.PDF";"";"178";"v stmg H2S odour l""ff-;-!<o+++-J§!!I; Pred, a.a. "
"15_9-19_B__WELL__15-09-19-B_PB-706-0114.PDF";"";"178";"v stmg H~ odour fr - pr vis por H--H-ri-+--1-+-l"
