"Search Results"

"Summary"
"Saved on";"20.06.2018 11.24.59"
"Searched for";"stain"
"In folder(s)";"C:\Apps\completion reports"
"Number of document(s) found";"204"            
"Number of instance(s) found";"1163"           

"File name";"Title";"Page";"Search Instance"
"15_12-11_S__WELL__15-12-11-S_PB-706-0417.PDF";"";"59";"no odour, no stain, no fluorescence, very slow streaming cloudy very weak white to "
"15_12-11_S__WELL__15-12-11-S_PB-706-0417.PDF";"";"59";"no odour, no stain, no fluorescence, moderately streaming white to yellowish white cut, yellowish "
"15_12-11_S__WELL__15-12-11-S_PB-706-0417.PDF";"";"127";"LITHOLOGY li! PORO- STAIN FLUOR CUT DESCRIPTION <·•· _ GRAIN SIZE "

"File name";"Title";"Page";"Search Instance"
"15_12-1__WELL__15-12-01_PB-706-0117.PDF";"";"68";"2) DEPTH LITHOLOG'V STAIN CUT FLUOR LITHOLOGIC DESCRIPTION MISC. (m) IS F IG "
"15_12-1__WELL__15-12-01_PB-706-0117.PDF";"";"69";"DEPTH LITHO LOG~ STAIN CUT FLUOR. LITHOLOGIC DESCRIPTION MISC. 1 (m) s I "
"15_12-1__WELL__15-12-01_PB-706-0117.PDF";"";"73";"D~P1H ILITHOLOG'I' STAIN CUT !FLUOR. LITHOLOGIC DE SCRIPT ION MISC. I m "
"15_12-1__WELL__15-12-01_PB-706-0117.PDF";"";"74";"Z) DEPTH LITHOLOG't' STAIN CUT FLUOR. LITHOLOGIC DESCRIPTION MISC. • , (m) IS "
"15_12-1__WELL__15-12-01_PB-706-0117.PDF";"";"75";"2) DEPTH LITHOLOG'f STAIN CUT FLUOR. LITHOLOGIC DESCRIPTION MISC. (m) s F G "
"15_12-1__WELL__15-12-01_PB-706-0117.PDF";"";"85";"W S 0 STAIN CUT FLUOR LITHOLOGIC DESCRIPTION MISC. s F IG p F "

"File name";"Title";"Page";"Search Instance"
"15_12-2__WELL__15-12-02_PB-706-0118.PDF";"";"52";"rTH GRAIN SIZE STAIN CUT FLUOR DESCRIPTION MISC. i 'J~ ~--~L-! -- "
"15_12-2__WELL__15-12-02_PB-706-0118.PDF";"";"53";"rTH GRAIN SIZE STAIN C UT FLUOR DESCRIPTION MISC .. ~ mu •i "
"15_12-2__WELL__15-12-02_PB-706-0118.PDF";"";"54";"PTH GRAIN SIZE STAIN ~u_.._ DESCRIPTION MISC .. -----4·---.-m "

"File name";"Title";"Page";"Search Instance"
"15_12-3__WELL__15-12-03_PB-706-0119.PDF";"";"83";"brittle, lt brn stain from disel. 3380 a/a ~------------------------------ 3385 --a-/a- "
"15_12-3__WELL__15-12-03_PB-706-0119.PDF";"";"84";"NO SHOWS brn stain ~------------------------------ 3490 ---a/-a --------------------------- • 3495 --a-/"
"15_12-3__WELL__15-12-03_PB-706-0119.PDF";"";"94";"DEPTH GRAIN SIZE STAIN CUT FLUOR DESCRIPTION MISC. • si vf l ., c "
"15_12-3__WELL__15-12-03_PB-706-0119.PDF";"";"95";"GRAIN SIZE ; STAIN CUT FLUOR DESCRIPTION MISC. ·~ •: •,• ! ~ "

"File name";"Title";"Page";"Search Instance"
"15_12-4__WELL__15-12-04_PB-706-0120.PDF";"";"142";"srrell, lt brn stain I strong pale tyel fluor, fast-inst stnn rnlky wh "
"15_12-4__WELL__15-12-04_PB-706-0120.PDF";"";"143";"Sst : no stain, else a/ a Page 3 of 4 cut Oil-water "

"File name";"Title";"Page";"Search Instance"
"15_12-6_S__WELL__15-12-06S_PB-706-0122.PDF";"";"23";"with no oil stain, calcareousfdolomitic or silica cemented, very hard and with no visible "

"File name";"Title";"Page";"Search Instance"
"15_12-7_S__WELL__15-12-07-S_PB-706-0125.PDF";"";"29";"brown or yellowish stain. Some green grey, and very micaceous (green mica) very "
"15_12-7_S__WELL__15-12-07-S_PB-706-0125.PDF";"";"152";"BRN - BRN STAIN, <>CC W/WH - GN GRY (KAOLIN?) MTX, "
"15_12-7_S__WELL__15-12-07-S_PB-706-0125.PDF";"";"153";"BRN - BRN STAIN, OCC W/WH • GN GRY(KAOLIN?) MTX, NON CALC "
"15_12-7_S__WELL__15-12-07-S_PB-706-0125.PDF";"";"154";"BRN - BRN STAIN, OCC W/WH - GN GRY(KAOLIN?) MTX, NON CALC "

"File name";"Title";"Page";"Search Instance"
"15_3-1_S__WELL__15-03-01_PB-706-0785.PDF";"";"22";"sltst , oil stain , bubble of gas , 15 mode r:. hydroc-:-Od "

"File name";"Title";"Page";"Search Instance"
"15_3-4__WELL__15-03-04_PB-706-0786.PDF";"";"38";", oi l stain, str ong ye l low fl uorescences and straw cuts "
