"Søkeresultater"

"Sammendrag"
"Lagret på";"08.06.2018 14.29.18"
"Søkte etter";"flour"
"I mappe(r)";"C:\Apps\completion reports"
"Antall dokumenter funnet";"94"             
"Antall forekomster funnet";"474"            

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"15_12-7_S__WELL__15-12-07-S_PB-706-0125.PDF";"";"29";"off white rock flour/kaolinite occur. ?Skagerrak Formation 3097.3 - 3477 m MD, "
"15_12-7_S__WELL__15-12-07-S_PB-706-0125.PDF";"";"30";"Traces of rock flour /kaolinite, mica, pyrite and limestone are common. ?Smith "
"15_12-7_S__WELL__15-12-07-S_PB-706-0125.PDF";"";"30";"red brown rock flour /kaolinite, mica and limestone are also recorded. "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"15_6-6__WELL__15-06-06_PB-706-0730.PDF";"";"77";"wh1 sft,floury1 paste. CLST:a/a. SD:a/a. TR SHELLS. TR "
"15_6-6__WELL__15-06-06_PB-706-0730.PDF";"";"84";"9 hd,s• flour CLYST: gy1 mic,sli-mo calc, glauo,v.alty,"

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"15_6-7__WELL__15-06-07_PB-706-0750.PDF";"";"26";"or reduced to rockflour. They are moderately to poorly sorted, very fine to locally "
"15_6-7__WELL__15-06-07_PB-706-0750.PDF";"";"85";"• SPACER /flourec.ine/ TYPE seawater seawater ,.. _.... ..... ; DENSITY ("

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"15_6-8_A__WELL__15-06-08-A_PB-706-0751.PDF";"";"26";"common kaolinitic rock flour, indicating local presence of cement, with good trace of very "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"15_8-1__WELL__15-08-01_PB-706-0224.PDF";"";"148";"Abund bright yel flour, slow massive cut; -~~!itve w/s.1:rin9.~rs "
"15_8-1__WELL__15-08-01_PB-706-0224.PDF";"";"148";"ye.l .. flour .. w/s.l.aw .. mas.s.ive .. "
"15_8-1__WELL__15-08-01_PB-706-0224.PDF";"";"149";"Abund bright yel flour, slow massive cut; .. rnii.~~ i Y~. w/s.:tril19.~"
"15_8-1__WELL__15-08-01_PB-706-0224.PDF";"";"149";"ye.l ... flour .. w/.s.l.aw .. mas.s.i.ve "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"15_9-10__WELL__15-09-10_PB-706-0084.PDF";"";"61";"w/Coal, no flour tr crush out Clyst, V slty, blcky, dusky brn, hd "
"15_9-10__WELL__15-09-10_PB-706-0084.PDF";"";"62";"a/a, dull flour Sst, lt brn-clear, f-med, abund pyr, kao Slty "
"15_9-10__WELL__15-09-10_PB-706-0084.PDF";"";"62";"Clay, pyr, no flour, Sst, brnish-gry, hd, f-rned, subrnd, v consolidated, kao, "
"15_9-10__WELL__15-09-10_PB-706-0084.PDF";"";"62";"abund pyr, no flour, 27.10.81. Shows& Remarks Tr show Tr show No show Tr "
"15_9-10__WELL__15-09-10_PB-706-0084.PDF";"";"63";"Clay, pyr, no flour, Sh, slty, dk brn, hd, subfiss, mic, no flour, Tr "
"15_9-10__WELL__15-09-10_PB-706-0084.PDF";"";"63";"subfiss, mic, no flour, Tr crush cut Sst, a/a Shows& Remarks No fluor "
"15_9-10__WELL__15-09-10_PB-706-0084.PDF";"";"63";"friable, calc cmnt, flour, no cut mineral Clyst, drk gry, frm, non calc Clyst, "
"15_9-10__WELL__15-09-10_PB-706-0084.PDF";"";"63";"w srt, no flour, no cut Coal Sd, clear quartz, lse, w rnd, w "
"15_9-10__WELL__15-09-10_PB-706-0084.PDF";"";"72";"115 ....,.;...J flour Tr crush cut • 0 ••••• ··-·"
"15_9-10__WELL__15-09-10_PB-706-0084.PDF";"";"77";"in filled with floury dol MISC. SLUMPS "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"15_9-18__WELL__15-09-18_PB-706-0116.PDF";"";"124";"mod strong yel flour on sst No cut or crush cut (calcite min "
"15_9-18__WELL__15-09-18_PB-706-0116.PDF";"";"125";"or ""Rock flour"" wh, sft, non calc Pyr Clyst/Sh: a/a Sd/"
"15_9-18__WELL__15-09-18_PB-706-0116.PDF";"";"128";"Tr ""Rock flour"" a/a page 38 of 88 "
"15_9-18__WELL__15-09-18_PB-706-0116.PDF";"";"129";"or ""Rock flour"" Sd: clr, occ lt brn, pred rned-crs, subangrnd, lse, "
"15_9-18__WELL__15-09-18_PB-706-0116.PDF";"";"129";"Pyr ""Rock flour"", wh, sft, non calc Sd: a/a Sh/Clyst: dk "
"15_9-18__WELL__15-09-18_PB-706-0116.PDF";"";"129";"a ""Rock Flour"": a/a Pyr Sd: a/a Clyst/Sh: a/a, "
"15_9-18__WELL__15-09-18_PB-706-0116.PDF";"";"130";"srtd ""Rock flour"": wh, sft, non calc Lst/Dol: wh-crm, hd-sft, "
"15_9-18__WELL__15-09-18_PB-706-0116.PDF";"";"154";"Kaol or Rock flour: wh, sft, non calc Pyr Coal Shows&Remarks good to "
"15_9-18__WELL__15-09-18_PB-706-0116.PDF";"";"155";"Kaol or Rock flour: wh, sft, non calc Tr Pyr Tr Coal: blk, hd, "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"15_9-19_B__WELL__15-09-19-B_PB-706-0114.PDF";"";"167";"mtx, abt rock flour, else a.a. a. a. 30 Clst: a. a. 20 "
"15_9-19_B__WELL__15-09-19-B_PB-706-0114.PDF";"";"168";"gd tr rock. flour 4212 90 Clst: tr v dsky rd M rdsh brn, "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"15_9-19_SR__WELL__15-09-19-SR_PB-706-0113.PDF";"";"10";"consisting of rock flour or silt together with some calcitic and dolomitic cemenL The "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"15_9-19_S__WELL__15-09-19-SR_PB-706-0113.PDF";"";"10";"consisting of rock flour or silt together with some calcitic and dolomitic cemenL The "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"15_9-21_S__WELL__15-09-21-S_PB-706-0739.PDF";"";"11";"1 00% rock flour/matrix, which was partly light to medium grey to brownish "
"15_9-21_S__WELL__15-09-21-S_PB-706-0739.PDF";"";"11";"consisted of rock flour with traces of loose very fme to fme and occasional "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"15_9-2__WELL__15-09-02_PB-706-0112.PDF";"";"99";"MISC. very weak flour • weak slow streaming cut whitepuleyellowmilkey cut good odour . "
"15_9-2__WELL__15-09-02_PB-706-0112.PDF";"";"102";"--~- f--- t- tflour, , .. 'M. slow 3053 - ... · .... "
"15_9-2__WELL__15-09-02_PB-706-0112.PDF";"";"103";"11 very weak flour, slow white pale yellow milky cut "
"15_9-2__WELL__15-09-02_PB-706-0112.PDF";"";"104";"I very weak, flour slow whitepale yellow cut "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"15_9-3__WELL__15-09-03_PB-706-0111.PDF";"";"88";"sn Dull yel flour 3667 ------------------------------- pale yellowish ~ t--------+--~7~0--+-~s~d~"

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"15_9-5__WELL__15-09-05_PB-706-0106.PDF";"";"65";"calc, prob rock flour sst, med gy, v fn, arg clyst a/a sd, "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"15_9-6__WELL__15-09-06_PB-706-0107.PDF";"";"72";"rnicromic occ mic Flour, no show. Ss, wh, vfn, fri-mod hd, cal cmt, "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"15_9-7__WELL__15-09-07_PB-706-0108.PDF";"";"104";"f-med f flour ~+-+-+-..,..+--ih , subang-subrnd wh c cut COAL: blk,"
"15_9-7__WELL__15-09-07_PB-706-0108.PDF";"";"105";"brittle MISC. f flour wh cut bleeding gas good odour bioturb p flour weak "
"15_9-7__WELL__15-09-07_PB-706-0108.PDF";"";"105";"odour bioturb p flour weak cloudy cut "
"15_9-7__WELL__15-09-07_PB-706-0108.PDF";"";"108";"calc, else a/ flour cut a/a flour a/ v weak cloudycloudy wh cut "
"15_9-7__WELL__15-09-07_PB-706-0108.PDF";"";"108";"cut a/a flour a/ v weak cloudycloudy wh cut bleeding gas flour a/ "
"15_9-7__WELL__15-09-07_PB-706-0108.PDF";"";"108";"cut bleeding gas flour a/ cut a/a "
"15_9-7__WELL__15-09-07_PB-706-0108.PDF";"";"109";"poor-fair vis flour --lf--+-+-+--tpor ,non calc ,micac, ~i--+-+-+--"
"15_9-7__WELL__15-09-07_PB-706-0108.PDF";"";"109";"cut bleeding gas flour a/ slow str wh. cut bleeding gas "
"15_9-7__WELL__15-09-07_PB-706-0108.PDF";"";"110";"MISC. dk orange flour, weak cloudy wh cut bleeding gas seal peel fluor a/ "
"15_9-7__WELL__15-09-07_PB-706-0108.PDF";"";"112";"calc MISC. dk flour, mod cloudy wh cut bleeding gas flour a/ weak cloudy "
"15_9-7__WELL__15-09-07_PB-706-0108.PDF";"";"112";"cut bleeding gas flour a/ weak cloudy cut -1-+--+-4~.m:c_ v "
"15_9-7__WELL__15-09-07_PB-706-0108.PDF";"";"112";"str wh cut flour a/a a/a cloudy v sdy, wh cut bleeding "
"15_9-7__WELL__15-09-07_PB-706-0108.PDF";"";"113";"V micac, carb, flour 1-- f.- non calc v slow ::~ 1-- str wh "
"15_9-7__WELL__15-09-07_PB-706-0108.PDF";"";"113";"clr-lt brnish flour a/a •••••••••••• qtz, f, mod hd-hd, cloudy .•.•.•.•.•.• "
"15_9-7__WELL__15-09-07_PB-706-0108.PDF";"";"113";"gas 1-- - flour a/a 1-- 3641 - 1=- - slow ;-_- - "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"15_9-8__WELL__15-09-08_PB-706-0079.PDF";"";"58";"Lst, a/a, flour Sst, a/a Sd, a/a Sh, a/a Clyst/"

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"16_4-1__WELL__16-04-01_PB-706-0387.PDF";"";"7";"Oil stain and flourescence CORING 6.1 Conventional cores 6.2 Side wall cores WIRELINE LOGGING "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"16_7-4__WELL__16-07-04_PB-706-0731.PDF";"";"70";"EIG 0 No flour 2 52 5 __ ........ ?.Q_ ....... ~h<~"
"16_7-4__WELL__16-07-04_PB-706-0731.PDF";"";"70";"ZL.No .... flour •............................................ then ... is ... added .. :to .. "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"1_3-8__WELL__01-03-08_PB-706-0563.PDF";"";"58";"containing 35% silica flour blended with 20% BWOC micromax for a 17.0 ppg slurry "
"1_3-8__WELL__01-03-08_PB-706-0563.PDF";"";"86";"up. The silica flour cement on board for the high temperature slurries was mixed "
"1_3-8__WELL__01-03-08_PB-706-0563.PDF";"";"86";"the neat silica flour cement mixed in sea water. It was set and tested "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
