"Søkeresultater"

"Sammendrag"
"Lagret på";"08.06.2018 13.23.23"
"Søkte etter";"flouresc"
"I mappe(r)";"C:\Apps\completion reports"
"Antall dokumenter funnet";"14"             
"Antall forekomster funnet";"19"             

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"16_4-1__WELL__16-04-01_PB-706-0387.PDF";"";"7";"Oil stain and flourescence CORING 6.1 Conventional cores 6.2 Side wall cores WIRELINE LOGGING "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"25_2-13__WELL__25-02-13_PB-706-0030.PDF";"";"62";"filtrate with poor flourescence. The second sample was taken at 3696.5 m RKB (-"
"25_2-13__WELL__25-02-13_PB-706-0030.PDF";"";"62";"bright milky white flourescence. The assumed oil water contact is -3687 mMSL which "
"25_2-13__WELL__25-02-13_PB-706-0030.PDF";"";"99";"there was minimal flourescence. "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"25_7-3__WELL__25-07-03_PB-706-0732.PDF";"";"167";"0.00 150.00 0.00 Flourescein dye Displacement CASING MOVEMENT RECIPROCATION SI'ROKEISPEED PU CIRC/CMTG SO "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"34_4-10__WELL__34-04-10-AND-10R_PB-706-0855.PDF";"";"32";"yellow white direct flourescence, very slow - slow streaming 3956-3957 Core Sandstone blue "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"35-04-01_PB-706-0321.PDF";"";"35";"residue no direct flourescence, no - slow streaming weak blue white fluorescent cut, no "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"6204-11-02_PB-706-0217.pdf";"";"28";"yellow white cut flourescence. Lack of cut or crush cut fluorescence on many grains "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"6306_10-1__WELL__6306-10-01_PB-706-0259.PDF";"";"77";"sequence with oil flourescence. Drilling continued to 2880m, where there was a drilling break "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"6407_10-1__WELL__6407-10-01_PB-706-0389.PDF";"";"29";"to blue white flourescence, weak slow streaming pale yellow to blue white fluorescent cut, "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"6407_2-3__WELL__6407-02-03_PB-706-0487.PDF";"";"60";"odour are described. Flourescence was very weak blue white and cut reaction very slow. "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"6407_7-2__WELL__6407-07-02_PB-706-0292.PDF";"";"34";"- no direct flourescence was observed. The cut showed a very weak to instant "
"6407_7-2__WELL__6407-07-02_PB-706-0292.PDF";"";"34";"occasionally yellow white flourescence. The none visible cut had a slow to instantly streaming "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"6507_2-1__WELL__6507-02-01_PB-706-0319.PDF";"";"30";"a moderately bright flourescence residue was observed. 3425 - 3455 m In this interval "
"6507_2-1__WELL__6507-02-01_PB-706-0319.PDF";"";"30";"to bright white flourescence. 35034 m, 3513 m and 3567 m -------------------------- These thin "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"6507_5-1__WELL__6507-05-01_PB-706-0567.PDF";"";"32";"Patchy yellow white flourescence, yellow Poor 1-5 ( crlftings) white to bluish white "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"6507_7-10__WELL__6507-07-10_PB-706-0734.PDF";"";"33";"PUMP 50 BBL FLOURESCENT DYE, 50 BBL GEL MUD. SWEEP HOLE. DYE OBSERVED IN "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"6607_5-1_COMPLETION_REPORT_82503_6607-05-01_PB-706-0826[1].pdf";"";"111";"above, gold mineral flourescence. CI.AYSTONE: As above SANDSTONE: Aggregates as above. Dolomite Tray "
"6607_5-1_COMPLETION_REPORT_82503_6607-05-01_PB-706-0826[1].pdf";"";"111";"pinpoint cream-yellow flourescence, (10%) gave cream-yellow slow cut, occasional streaming cut. "
