"Søkeresultater"

"Sammendrag"
"Lagret på";"08.06.2018 13.36.33"
"Søkte etter";"streaming"
"I mappe(r)";"C:\Apps\completion reports"
"Antall dokumenter funnet";"159"            
"Antall forekomster funnet";"908"            

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"15_12-11_S__WELL__15-12-11-S_PB-706-0417.PDF";"";"59";"fluorescence, very slow streaming cloudy very weak white to yellowish white cut, very weak "
"15_12-11_S__WELL__15-12-11-S_PB-706-0417.PDF";"";"59";"no fluorescence, moderately streaming white to yellowish white cut, yellowish white residuum. The gas "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"15_12-3__WELL__15-12-03_PB-706-0119.PDF";"";"73";"no fluor slow streaming wh cut in sltst NO SHOWS 3097 95 __ ~"
"15_12-3__WELL__15-12-03_PB-706-0119.PDF";"";"75";"mod 3196 -~~---------------------------- streaming yel-wh cut in the most 3199 --~~---------------------------- slty sh/"

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"15_12-6_S__WELL__15-12-06S_PB-706-0122.PDF";"";"22";"cloudy to slow streaming yellow white cut florescence are recorded in the claystone. "
"15_12-6_S__WELL__15-12-06S_PB-706-0122.PDF";"";"23";"instant to fast. streaming yellow white cut florescence are recorded in the sandstone. The "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"15_5-3__WELL__15-05-03_PB-706-0298.PDF";"";"24";"slow, blue-white streaming fluorescence cut. While the gas level did not • increase "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"15_5-4__WELL__15-05-04_PB-706-0384.PDF";"";"23";"direct fluorescence, fast streaming bright yellow to white cut fluorescence, no visible cut, dull "
"15_5-4__WELL__15-05-04_PB-706-0384.PDF";"";"24";"direct fluorescence, fast streaming bright yellow cut fluorescence, faint pale brown visible cut, dull "
"15_5-4__WELL__15-05-04_PB-706-0384.PDF";"";"24";"direct fluorescence, intermediate streaming cloudy bluish white to yellowish white cut fluorescence, very weak "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"15_9-10__WELL__15-09-10_PB-706-0084.PDF";"";"72";"flow, v slow streaming -· -· -····- "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"15_9-12_R__WELL__15-09-12_PB-706-0086.PDF";"";"67";"fluor, good slow, streaming, yell cut Sh, red brn, a/a Lst, pale yellowish "
"15_9-12_R__WELL__15-09-12_PB-706-0086.PDF";"";"71";"Shows&Remarks slow streaming cut Poor cut, v slow, v tight a/a Sst, "
"15_9-12_R__WELL__15-09-12_PB-706-0086.PDF";"";"71";"a/a slow streaming cut, dul fluor poor poor a/a a/a Poor "
"15_9-12_R__WELL__15-09-12_PB-706-0086.PDF";"";"73";"for 3522.5 Slow streaming cut mod fluor ye 1 wh NOT WET a/a "
"15_9-12_R__WELL__15-09-12_PB-706-0086.PDF";"";"78";"cut, . slow streaming, 'K • . •. :. :: r.:: . . "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"15_9-12__WELL__15-09-12_PB-706-0086.PDF";"";"67";"fluor, good slow, streaming, yell cut Sh, red brn, a/a Lst, pale yellowish "
"15_9-12__WELL__15-09-12_PB-706-0086.PDF";"";"71";"Shows&Remarks slow streaming cut Poor cut, v slow, v tight a/a Sst, "
"15_9-12__WELL__15-09-12_PB-706-0086.PDF";"";"71";"a/a slow streaming cut, dul fluor poor poor a/a a/a Poor "
"15_9-12__WELL__15-09-12_PB-706-0086.PDF";"";"73";"for 3522.5 Slow streaming cut mod fluor ye 1 wh NOT WET a/a "
"15_9-12__WELL__15-09-12_PB-706-0086.PDF";"";"78";"cut, . slow streaming, 'K • . •. :. :: r.:: . . "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"15_9-16__WELL__15-09-16_PB-706-0081.PDF";"";"62";"yel fluor. bright streaming cut Less shows a/a tr shows a/a 43 "
"15_9-16__WELL__15-09-16_PB-706-0081.PDF";"";"63";"fluor, bright yell streaming cut No shows page 44 of 47 "

"Filnavn";"Tittel";"Side";"Søk i forekomst"
"15_9-18__WELL__15-09-18_PB-706-0116.PDF";"";"184";"Fast . . streaming- - . . . cloudy wh cmt . . strong "
