"wlbWellboreName";"wlbDrillingOperator";"wlbProductionLicence";"wlbWellType";"wlbPurposePlanned";"wlbContent";"wlbEntryDate";"wlbCompletionDate";"wlbField";"wlbMainArea";"wlbGeodeticDatum";"wlbNsDeg";"wlbNsMin";"wlbNsSec";"wlbNsCode";"wlbEwDeg";"wlbEwMin";"wlbEwSec";"wlbEwCode";"wlbNsDecDeg";"wlbEwDesDeg";"wlbNsUtm";"wlbEwUtm";"wlbUtmZone";"wlbNpdidWellbore";"datesyncNPD"
"1/2-1";"Phillips Petroleum Norsk AS";"143";"EXPLORATION";"WILDCAT";"OIL";"20.03.1989";"04.06.1989";"BLANE";"NORTH SEA";"ED50";"56";"53";"15.07";"N";"2";"28";"35.7";"E";"56.887519";"2.476583";"6305128.26";"468106.29";"31";"1382";"18.09.2019"
"1/2-2";"Paladin Resources Norge AS";"143 CS";"EXPLORATION";"WILDCAT";"OIL SHOWS";"14.12.2005";"02.02.2006";"";"NORTH SEA";"ED50";"56";"59";"32";"N";"2";"29";"47.66";"E";"56.992222";"2.496572";"6316774.33";"469410.10";"31";"5192";"18.09.2019"
"1/2-U-1";"ConocoPhillips Skandinavia AS";"143";"OTHER";"";"";"09.05.2009";"09.05.2009";"";"NORTH SEA";"ED50";"56";"56";"55.58";"N";"2";"27";"5.01";"E";"56.948772";"2.451392";"6311958.73";"466625.99";"31";"6148";"18.09.2019"
"1/2-U-2";"ConocoPhillips Skandinavia AS";"143";"OTHER";"";"";"12.05.2009";"12.05.2009";"";"NORTH SEA";"ED50";"56";"56";"56.95";"N";"2";"27";"7.69";"E";"56.949153";"2.452136";"6312000.73";"466671.62";"31";"6149";"18.09.2019"
"1/2-U-3";"ConocoPhillips Skandinavia AS";"143";"OTHER";"";"";"12.05.2009";"12.05.2009";"";"NORTH SEA";"ED50";"56";"56";"54.99";"N";"2";"27";"8.52";"E";"56.948608";"2.452367";"6311940.01";"466685.16";"31";"6150";"18.09.2019"
"1/3-1";"A/S Norske Shell";"011";"EXPLORATION";"WILDCAT";"GAS";"06.07.1968";"11.11.1968";"";"NORTH SEA";"ED50";"56";"51";"21";"N";"2";"51";"5";"E";"56.855833";"2.851389";"6301488.86";"490936.87";"31";"154";"18.09.2019"
"1/3-2";"A/S Norske Shell";"011";"EXPLORATION";"WILDCAT";"DRY";"14.05.1969";"27.07.1969";"";"NORTH SEA";"ED50";"56";"56";"10";"N";"2";"45";"0";"E";"56.936111";"2.750000";"6310443.20";"484786.28";"31";"165";"18.09.2019"
"1/3-3";"Elf Petroleum Norge AS";"065";"EXPLORATION";"WILDCAT";"OIL";"22.08.1982";"24.03.1983";"TAMBAR";"NORTH SEA";"ED50";"56";"57";"8.56";"N";"2";"58";"54.05";"E";"56.952378";"2.981681";"6312226.32";"498885.66";"31";"87";"18.09.2019"
"1/3-4";"Elf Petroleum Norge AS";"065";"EXPLORATION";"WILDCAT";"OIL SHOWS";"15.02.1983";"08.05.1983";"";"NORTH SEA";"ED50";"56";"56";"39.21";"N";"2";"43";"0.23";"E";"56.944225";"2.716731";"6311354.32";"482765.43";"31";"2";"18.09.2019"
"1/3-5";"A/S Norske Shell";"011";"EXPLORATION";"WILDCAT";"DRY";"01.10.1984";"11.02.1985";"";"NORTH SEA";"ED50";"56";"46";"16.02";"N";"2";"53";"38.85";"E";"56.771117";"2.894125";"6292053.66";"493528.57";"31";"223";"18.09.2019"
"1/3-6";"Elf Petroleum Norge AS";"065";"EXPLORATION";"WILDCAT";"GAS/CONDENSATE";"11.03.1991";"22.06.1991";"OSELVAR";"NORTH SEA";"ED50";"56";"56";"14.92";"N";"2";"42";"20.81";"E";"56.937478";"2.705781";"6310606.04";"482095.98";"31";"1521";"18.09.2019"
"1/3-7";"Elf Petroleum Norge AS";"065";"EXPLORATION";"APPRAISAL";"OIL";"13.02.1995";"25.05.1995";"OSELVAR";"NORTH SEA";"ED50";"56";"56";"25.15";"N";"2";"40";"34.61";"E";"56.940319";"2.676281";"6310930.49";"480302.33";"31";"2505";"18.09.2019"
"1/3-8";"Amoco Norway Oil Company";"011";"EXPLORATION";"WILDCAT";"SHOWS";"12.12.1996";"27.05.1997";"";"NORTH SEA";"ED50";"56";"52";"7.14";"N";"2";"53";"20.75";"E";"56.868650";"2.889097";"6302911.22";"493238.84";"31";"2829";"18.09.2019"
"1/3-9 S";"BP Norway Limited U.A.";"065";"EXPLORATION";"APPRAISAL";"OIL";"08.05.1998";"31.07.1998";"TAMBAR";"NORTH SEA";"ED50";"56";"58";"57.97";"N";"2";"57";"31.33";"E";"56.982769";"2.958703";"6315610.11";"497490.00";"31";"3362";"18.09.2019"
"1/3-10";"DONG E&P Norge AS";"274";"EXPLORATION";"APPRAISAL";"OIL/GAS";"25.10.2007";"07.01.2008";"OSELVAR";"NORTH SEA";"ED50";"56";"55";"39.86";"N";"2";"42";"20.69";"E";"56.927739";"2.705747";"6309521.94";"482089.29";"31";"5614";"18.09.2019"
"1/3-10 A";"DONG E&P Norge AS";"274";"EXPLORATION";"APPRAISAL";"OIL/GAS";"07.01.2008";"13.02.2008";"OSELVAR";"NORTH SEA";"ED50";"56";"55";"39.86";"N";"2";"42";"20.69";"E";"56.927739";"2.705747";"6309521.94";"482089.29";"31";"5779";"18.09.2019"
"1/3-11";"DONG E&P Norge AS";"274";"EXPLORATION";"WILDCAT";"OIL";"28.05.2008";"30.08.2008";"";"NORTH SEA";"ED50";"56";"50";"58.47";"N";"2";"43";"15.43";"E";"56.849575";"2.720953";"6300817.06";"482979.33";"31";"5806";"18.09.2019"
"1/3-12 S";"BG Norge AS";"297";"EXPLORATION";"WILDCAT";"DRY";"01.12.2009";"22.07.2010";"";"NORTH SEA";"ED50";"56";"45";"11.19";"N";"2";"49";"43.61";"E";"56.753108";"2.828781";"6290057.13";"489529.49";"31";"6260";"18.09.2019"
